Channel 1,Channel 2,Channel 3
15.482954,6.011029,130.634903
16.940172,4.553810,129.929718
15.847260,4.553810,130.282303
16.029411,4.007353,129.048248
16.029411,4.007353,129.048248
16.029411,4.007353,129.048248
15.482954,4.189505,128.166763
14.936497,6.557487,128.695648
16.758020,5.464572,129.753418
15.300802,4.735962,129.753418
16.393717,4.371658,129.048248
15.118649,4.553810,128.871948
15.482954,6.375334,128.871948
15.482954,4.918115,128.519348
17.304478,4.553810,129.224548
17.304478,4.553810,129.224548
14.207887,5.100267,129.753418
16.029411,4.735962,129.753418
15.665107,4.735962,129.400833
14.572192,2.914438,128.695648
14.936497,5.100267,127.990471
16.029411,4.007353,130.106018
16.940172,4.189505,129.224548
14.936497,3.278743,129.048248
15.482954,5.282420,128.519348
15.482954,5.282420,128.519348
15.482954,5.282420,128.519348
14.936497,3.643048,129.048248
15.118649,3.096591,128.871948
15.118649,4.189505,130.634903
15.300802,3.643048,129.048248
14.572192,4.007353,129.048248
15.482954,3.460896,129.577133
15.665107,3.643048,129.753418
16.211565,3.825201,130.634903
14.390040,3.825201,130.282303
14.390040,3.825201,130.282303
14.390040,3.825201,130.282303
13.661430,4.189505,131.340088
15.118649,3.825201,130.282303
14.025735,2.732286,129.224548
14.572192,1.821524,130.811203
15.118649,4.553810,129.577133
14.936497,4.735962,129.753418
15.665107,4.007353,130.811203
15.665107,3.278743,129.048248
16.211565,3.096591,129.224548
16.211565,3.096591,129.224548
16.211565,3.096591,129.224548
17.304478,4.553810,129.577133
14.572192,5.100267,130.106018
14.572192,2.550134,130.458603
16.211565,3.825201,129.929718
15.847260,4.553810,128.519348
14.936497,2.185829,129.048248
15.118649,4.189505,129.224548
14.754345,2.732286,130.634903
14.572192,4.007353,129.400833
14.572192,4.007353,129.400833
14.025735,4.189505,131.340088
14.754345,3.825201,129.929718
15.300802,3.643048,130.106018
15.482954,3.096591,130.634903
13.843583,2.550134,131.163788
16.393717,2.185829,131.163788
14.390040,2.732286,130.634903
14.207887,3.643048,130.811203
12.750668,5.464572,131.163788
12.750668,5.464572,131.163788
12.750668,5.464572,131.163788
14.207887,3.278743,131.163788
14.754345,3.096591,130.634903
14.025735,2.732286,129.224548
15.665107,2.550134,130.106018
15.118649,4.553810,130.282303
14.572192,4.371658,129.048248
13.114973,2.550134,130.106018
14.572192,3.643048,129.400833
14.572192,3.643048,129.400833
14.572192,3.643048,129.400833
14.207887,2.550134,130.106018
15.665107,4.371658,130.106018
12.932821,3.460896,130.987503
14.207887,4.371658,129.400833
14.207887,5.100267,130.811203
14.207887,4.007353,131.163788
12.932821,4.189505,129.929718
14.754345,4.553810,129.577133
14.754345,4.189505,130.634903
14.754345,4.189505,130.634903
12.022058,4.007353,130.458603
13.661430,5.646724,131.340088
13.297126,4.189505,130.634903
14.572192,4.371658,129.753418
12.750668,3.278743,130.811203
13.661430,6.011029,130.634903
13.297126,4.189505,129.929718
13.114973,3.643048,130.458603
13.479278,4.735962,131.516373
14.207887,5.828877,131.163788
14.207887,5.828877,131.163788
14.207887,7.650401,130.811203
13.843583,6.193182,130.458603
12.386364,5.464572,131.163788
12.750668,6.557487,128.695648
13.297126,4.918115,128.871948
13.114973,6.193182,129.400833
14.207887,5.464572,129.400833
14.936497,5.464572,130.811203
14.025735,5.282420,129.224548
14.025735,5.282420,129.224548
15.118649,4.553810,131.692673
13.479278,6.921792,128.695648
12.932821,6.739639,129.929718
15.118649,5.282420,129.929718
15.300802,4.007353,129.400833
12.932821,5.282420,128.519348
14.572192,3.643048,129.048248
14.754345,6.011029,130.634903
13.661430,6.011029,128.519348
13.297126,6.011029,128.519348
13.297126,6.011029,128.519348
14.572192,6.921792,130.106018
12.932821,6.739639,129.929718
14.572192,6.193182,128.343063
14.025735,6.011029,129.577133
14.754345,6.739639,128.166763
14.025735,7.832553,129.224548
15.482954,7.468248,127.814171
15.118649,6.739639,128.519348
12.932821,8.196858,127.814171
12.932821,8.196858,127.814171
16.211565,7.468248,128.166763
15.847260,8.196858,128.166763
14.572192,8.743316,128.343063
14.754345,9.289773,128.871948
16.029411,8.379010,128.343063
15.118649,7.832553,127.814171
15.482954,10.018382,126.051216
15.482954,9.654078,127.461586
16.029411,11.293448,126.580109
16.029411,11.293448,126.580109
16.029411,11.293448,126.580109
16.575869,11.475602,127.814171
17.304478,11.475602,127.108994
16.940172,14.025735,128.166763
18.033089,11.839906,127.108994
17.122326,12.750668,127.285294
18.033089,14.390040,128.166763
16.393717,13.843583,128.695648
17.122326,14.936497,126.580109
17.304478,15.482954,125.698631
17.304478,15.482954,125.698631
17.304478,15.482954,125.698631
17.668783,15.118649,127.108994
16.029411,16.029411,127.990471
16.211565,16.575869,129.224548
17.122326,16.029411,130.458603
17.304478,15.847260,129.929718
16.575869,16.211565,130.282303
17.486631,19.308155,131.163788
16.940172,17.304478,129.929718
15.665107,18.943850,131.163788
15.665107,18.943850,131.163788
15.665107,18.943850,131.163788
17.122326,19.672459,130.811203
18.033089,19.854610,131.692673
19.490307,22.404745,130.987503
18.397392,19.854610,130.987503
18.579546,21.858288,133.984512
20.218918,23.133356,131.692673
21.129679,22.951204,132.221558
20.947525,22.404745,132.397858
22.040442,24.226269,132.750458
22.040442,24.226269,132.750458
21.311832,24.590574,132.750458
23.315508,24.772728,132.221558
21.858288,25.137032,132.221558
22.769049,25.683491,133.808212
24.590574,27.140707,133.103043
23.497660,26.412098,133.455627
23.679811,26.958555,134.337112
24.226269,27.869318,134.160812
26.047794,26.776403,132.750458
26.047794,26.776403,132.750458
26.047794,26.776403,132.750458
27.869318,28.597929,132.397858
27.687166,27.687166,133.984512
28.415773,28.415773,133.631927
31.330214,28.780081,133.984512
31.330214,29.508690,133.279327
31.148060,28.597929,133.455627
31.876671,28.962233,134.160812
33.151737,29.508690,133.279327
33.333889,28.597929,132.750458
33.333889,28.597929,132.750458
36.248329,30.055145,133.455627
38.252007,28.051470,133.279327
36.430481,29.508690,131.868973
37.887699,29.508690,133.631927
38.616310,29.872993,133.631927
39.891376,30.055145,133.455627
40.619984,30.055145,132.045258
41.348598,28.962233,134.513397
40.984287,28.597929,133.455627
40.984287,28.597929,133.455627
40.984287,28.597929,133.455627
42.623665,26.958555,133.631927
45.173794,27.322861,132.221558
44.445187,27.687166,133.984512
46.448860,27.869318,134.160812
45.902409,27.687166,133.631927
45.720253,28.597929,133.103043
49.545456,27.687166,135.747467
47.541779,28.597929,133.455627
48.452538,26.229946,133.984512
48.452538,26.229946,133.984512
51.913433,26.776403,133.808212
51.913433,26.047794,133.808212
51.002670,24.044117,133.984512
52.642044,24.226269,133.455627
53.917110,25.137032,135.042282
54.281414,24.408422,135.042282
56.649399,22.769049,135.571167
55.192177,23.497660,134.865997
57.013702,23.861965,135.571167
56.285095,20.947525,136.981537
56.285095,20.947525,136.981537
57.742310,22.040442,135.571167
60.292446,20.947525,136.981537
59.745987,20.036764,135.747467
59.017380,20.401070,136.100067
59.928143,18.397392,135.571167
61.931816,17.122326,135.747467
61.567513,18.215240,135.747467
60.838905,17.486631,136.100067
63.206882,16.940172,135.923767
63.206882,16.940172,135.923767
63.206882,16.940172,135.923767
63.571190,12.932821,135.218582
63.935493,11.839906,136.981537
64.846260,11.293448,136.100067
64.664101,11.475602,136.628937
65.210564,9.836229,135.747467
65.028404,9.654078,136.981537
66.485626,9.289773,135.218582
66.121323,6.011029,137.334122
65.757019,6.375334,134.513397
65.757019,6.375334,134.513397
67.214241,6.011029,136.628937
67.032082,3.278743,137.863022
67.578545,2.367981,136.628937
67.760689,1.457219,137.157822
66.667778,2.914438,137.510422
66.485626,3.096591,137.334122
69.035767,1.639372,137.686722
67.578545,0.182152,137.334122
68.853607,-1.821524,138.215607
68.853607,-1.821524,138.215607
68.853607,-1.821524,138.215607
66.121323,-3.460896,136.276352
64.299797,-4.553810,137.334122
67.214241,-4.553810,136.276352
65.574867,-6.557487,134.337112
64.481956,-7.286096,134.689697
64.846260,-6.921792,134.689697
65.574867,-6.193182,135.042282
63.753342,-8.743316,135.042282
62.842579,-9.289773,136.981537
62.842579,-9.289773,136.981537
62.842579,-9.289773,136.981537
63.024731,-10.200535,133.631927
62.296120,-11.293448,133.631927
61.931816,-10.200535,134.337112
61.203209,-11.657754,134.337112
61.203209,-10.564839,132.574158
61.021053,-12.204211,133.455627
59.928143,-11.839906,134.160812
58.835228,-12.568516,132.750458
60.838905,-11.657754,131.868973
60.838905,-11.657754,131.868973
57.924465,-12.750668,131.163788
58.653072,-13.114973,131.163788
56.831547,-12.386364,131.163788
57.742310,-12.932821,130.634903
57.560162,-11.657754,129.048248
57.195858,-13.114973,130.106018
56.831547,-11.293448,129.753418
59.017380,-12.386364,130.458603
57.742310,-10.018382,130.282303
57.742310,-10.018382,130.282303
57.742310,-10.018382,130.282303
59.745987,-10.200535,133.279327
60.838905,-8.743316,132.221558
60.474594,-9.107620,132.221558
61.021053,-8.925467,134.865997
63.024731,-6.921792,132.926743
61.749668,-7.103943,134.513397
63.753342,-6.193182,133.984512
63.389038,-5.828877,134.337112
65.028404,-4.553810,135.571167
65.028404,-4.553810,135.571167
65.574867,-4.371658,133.279327
65.757019,-2.732286,134.865997
65.210564,-1.457219,135.042282
66.667778,-0.728610,135.394882
65.757019,0.910762,134.513397
66.121323,1.639372,134.865997
67.578545,2.003676,136.981537
67.214241,2.732286,136.628937
66.849930,4.189505,139.097076
66.849930,4.189505,139.097076
66.849930,4.189505,139.097076
65.757019,7.468248,137.686722
65.392715,8.196858,138.391891
67.578545,8.925467,138.039307
67.032082,9.836229,137.863022
65.939171,12.750668,137.510422
64.664101,12.204211,138.039307
64.664101,14.025735,137.334122
63.753342,15.300802,138.568192
63.389038,17.486631,135.747467
63.389038,17.486631,135.747467
61.385357,18.761698,136.981537
59.381683,20.036764,135.042282
58.470921,20.583221,135.571167
58.653072,21.858288,134.337112
57.013702,22.040442,134.513397
56.649399,24.590574,134.513397
55.920784,23.497660,134.865997
55.374332,23.679811,134.689697
56.831547,24.408422,132.574158
56.831547,24.408422,132.574158
56.831547,24.408422,132.574158
52.459892,25.137032,132.926743
50.638367,25.501335,131.868973
49.545456,25.137032,132.221558
48.634693,26.047794,130.282303
47.359623,25.865643,131.868973
47.723930,26.594252,131.516373
45.173794,25.137032,130.458603
45.538097,25.865643,131.163788
43.716576,25.865643,130.811203
43.716576,25.865643,130.811203
42.623665,26.229946,130.458603
42.441509,26.412098,130.282303
42.259357,26.594252,130.106018
38.252007,25.501335,130.458603
38.616310,27.322861,129.400833
38.980614,26.958555,128.695648
37.159092,24.772728,129.048248
35.337566,26.594252,129.753418
34.608955,25.501335,130.106018
34.608955,25.501335,130.106018
34.608955,25.501335,130.106018
34.608955,25.501335,128.695648
31.330214,26.958555,129.048248
31.512365,27.505013,128.519348
31.876671,25.683491,128.166763
32.787434,25.501335,129.753418
31.148060,25.319183,129.224548
28.962233,26.047794,128.871948
28.233622,24.954880,129.577133
26.958555,24.408422,129.048248
26.958555,24.408422,129.048248
24.954880,24.226269,132.045258
23.861965,23.861965,130.634903
25.319183,23.861965,129.929718
21.858288,24.044117,130.811203
21.858288,22.586897,130.811203
20.583221,22.040442,129.929718
20.036764,21.858288,131.163788
18.943850,21.493984,129.753418
19.490307,22.040442,129.929718
19.490307,22.040442,129.929718
19.490307,22.040442,129.929718
19.126003,17.304478,128.166763
18.215240,17.486631,129.400833
19.126003,15.847260,128.166763
19.308155,16.758020,127.285294
18.397392,15.847260,128.519348
17.122326,14.207887,128.343063
18.033089,14.754345,128.871948
16.940172,14.390040,127.108994
17.486631,13.479278,127.285294
17.486631,13.479278,127.285294
17.486631,13.479278,127.285294
15.300802,10.564839,129.753418
15.482954,11.839906,128.166763
15.300802,12.022058,127.637878
14.025735,12.932821,130.634903
14.207887,11.657754,130.458603
13.114973,10.929144,130.811203
13.297126,9.654078,130.282303
12.750668,8.014706,132.574158
12.932821,8.925467,130.634903
12.932821,8.925467,130.634903
12.932821,8.925467,130.634903
11.839906,6.739639,128.871948
12.204211,6.375334,131.340088
11.657754,6.193182,130.811203
12.204211,5.646724,130.282303
12.568516,5.282420,130.987503
11.111297,2.732286,130.282303
11.475602,1.639372,131.340088
11.657754,2.185829,131.516373
12.022058,0.728610,131.868973
12.022058,0.728610,131.868973
12.022058,-0.364305,130.458603
10.382687,1.275067,130.634903
10.746992,-0.546457,132.397858
11.475602,-2.732286,132.045258
10.200535,-2.550134,132.926743
10.564839,-2.914438,132.221558
11.475602,-3.825201,132.397858
10.564839,-5.100267,131.516373
11.111297,-4.189505,133.103043
11.111297,-4.189505,133.103043
11.111297,-4.189505,133.103043
11.475602,-7.103943,132.045258
11.293448,-6.557487,132.221558
12.022058,-5.464572,132.926743
11.657754,-6.193182,132.574158
12.022058,-7.650401,132.574158
11.293448,-5.464572,131.868973
11.111297,-6.375334,132.045258
11.657754,-4.371658,131.516373
11.657754,-3.643048,132.221558
11.657754,-3.643048,132.221558
12.022058,-5.828877,133.279327
11.839906,-5.646724,133.455627
11.657754,-5.100267,131.516373
11.839906,-4.553810,130.987503
12.750668,-2.914438,131.868973
11.475602,-4.189505,131.692673
13.661430,-4.918115,131.340088
10.746992,-3.096591,130.282303
12.022058,-5.464572,130.458603
12.022058,-5.464572,130.458603
12.022058,-5.464572,130.458603
12.568516,-3.096591,132.045258
11.293448,-3.643048,130.458603
12.750668,-3.278743,131.163788
13.297126,-2.367981,131.340088
12.750668,-1.457219,130.811203
12.022058,-2.914438,129.400833
11.657754,-1.821524,130.458603
9.654078,-1.275067,130.282303
10.382687,0.182152,131.340088
10.382687,0.182152,131.340088
10.382687,0.182152,131.340088
12.386364,0.364305,130.811203
11.111297,2.003676,129.929718
12.750668,2.914438,131.163788
11.657754,2.914438,129.400833
12.386364,3.643048,129.753418
11.657754,4.371658,130.458603
11.657754,5.100267,129.753418
10.382687,5.282420,130.282303
12.386364,5.828877,129.400833
12.386364,5.828877,129.400833
12.204211,6.375334,129.224548
12.022058,8.379010,131.163788
12.386364,8.379010,129.048248
12.386364,9.471925,130.811203
12.568516,8.925467,129.929718
12.386364,11.293448,130.458603
