Channel 1,Channel 2,Channel 3
-0.020240,-0.003196,-0.023436
-0.021305,-0.003196,-0.022371
-0.022371,-0.002131,-0.021305
-0.023436,-0.001065,-0.021305
-0.023436,-0.001065,-0.022371
-0.021305,-0.002131,-0.021305
-0.022371,-0.003196,-0.020240
-0.022371,-0.003196,-0.021305
-0.021305,-0.003196,-0.022371
-0.020240,-0.004261,-0.024501
-0.019175,-0.003196,-0.024501
-0.019175,-0.002131,-0.022371
-0.018109,-0.002131,-0.022371
-0.018109,-0.002131,-0.024501
-0.019175,-0.002131,-0.024501
-0.020240,-0.002131,-0.023436
-0.019175,-0.002131,-0.021305
-0.018109,-0.003196,-0.022371
-0.019175,-0.002131,-0.024501
-0.019175,-0.001065,-0.025566
-0.020240,-0.002131,-0.026632
-0.020240,-0.003196,-0.023436
-0.021305,-0.002131,-0.020240
-0.023436,-0.001065,-0.019175
-0.023436,-0.003196,-0.021305
-0.021305,-0.003196,-0.023436
-0.020240,-0.002131,-0.025566
-0.021305,-0.004261,-0.024501
-0.020240,-0.004261,-0.020240
-0.019175,-0.003196,-0.019175
-0.019175,-0.003196,-0.019175
-0.021305,-0.002131,-0.020240
-0.022371,-0.003196,-0.023436
-0.021305,-0.003196,-0.023436
-0.020240,-0.002131,-0.020240
-0.020240,-0.001065,-0.020240
-0.019175,-0.002131,-0.019175
-0.019175,-0.003196,-0.020240
-0.020240,-0.003196,-0.020240
-0.021305,-0.003196,-0.020240
-0.020240,-0.003196,-0.020240
-0.020240,-0.002131,-0.020240
-0.021305,-0.003196,-0.020240
-0.021305,-0.003196,-0.020240
-0.020240,-0.003196,-0.021305
-0.020240,-0.003196,-0.020240
-0.020240,-0.003196,-0.020240
-0.019175,-0.004261,-0.022371
-0.020240,-0.003196,-0.022371
-0.020240,-0.002131,-0.019175
-0.020240,-0.002131,-0.015979
-0.020240,-0.002131,-0.018109
-0.020240,-0.001065,-0.021305
-0.021305,-0.003196,-0.022371
-0.023436,-0.004261,-0.021305
-0.023436,-0.004261,-0.020240
-0.021305,-0.002131,-0.020240
